Total_Population,Median_Income,Median_Home_Value,Unemployed_Pop,Bachelors_Holders,StateFIPS,CountyFIPS,TractFIPS
4502.0,46750.0,474800.0,171.0,243.0,6,1,409500
5313.0,58750.0,524500.0,232.0,454.0,6,1,409600
5061.0,40870.0,557600.0,115.0,197.0,6,1,409700
3405.0,104125.0,910100.0,161.0,671.0,6,1,409800
3904.0,190813.0,1048100.0,62.0,866.0,6,1,409900
3053.0,196500.0,1056200.0,101.0,798.0,6,1,410000
2893.0,90388.0,747500.0,114.0,504.0,6,1,410100
3545.0,79675.0,618100.0,119.0,231.0,6,1,410200
3967.0,44167.0,608200.0,148.0,179.0,6,1,410300
4633.0,115268.0,658100.0,72.0,472.0,6,1,410400
3056.0,59402.0,1082400.0,105.0,312.0,6,1,410500
2656.0,204352.0,1294400.0,94.0,656.0,6,1,420100
3225.0,159563.0,1069900.0,60.0,836.0,6,1,420200
2466.0,122578.0,618700.0,21.0,580.0,6,1,420301
2381.0,125486.0,1102800.0,28.0,668.0,6,1,420302
1438.0,77083.0,-666666666.0,4.0,288.0,6,1,420401
1607.0,92000.0,-666666666.0,30.0,359.0,6,1,420402
2474.0,137000.0,1210600.0,69.0,518.0,6,1,420500
3521.0,181678.0,1466900.0,62.0,787.0,6,1,420600
2127.0,244276.0,1641000.0,49.0,478.0,6,1,421100
3503.0,250001.0,1987700.0,109.0,855.0,6,1,421200
4041.0,128125.0,1516900.0,98.0,758.0,6,1,421300
1770.0,235000.0,1641200.0,8.0,490.0,6,1,421400
4122.0,222321.0,1598900.0,87.0,927.0,6,1,421500
3896.0,228547.0,1375000.0,66.0,1126.0,6,1,421600
3427.0,114725.0,1211400.0,80.0,939.0,6,1,421700
2193.0,179868.0,1559500.0,25.0,789.0,6,1,421800
4109.0,162143.0,1212200.0,49.0,1194.0,6,1,421900
2346.0,137841.0,944300.0,16.0,696.0,6,1,422000
3103.0,135000.0,1012200.0,102.0,677.0,6,1,422100
3239.0,108523.0,1194300.0,98.0,767.0,6,1,422200
3626.0,113257.0,1436800.0,146.0,883.0,6,1,422300
3970.0,86250.0,1247100.0,170.0,1500.0,6,1,422400
4546.0,49286.0,1148200.0,74.0,665.0,6,1,422500
5015.0,-666666666.0,1223200.0,192.0,579.0,6,1,422700
9183.0,30833.0,-666666666.0,544.0,497.0,6,1,422800
1889.0,41902.0,-666666666.0,121.0,279.0,6,1,422901
2370.0,65285.0,-666666666.0,7.0,336.0,6,1,422902
4526.0,81759.0,1294100.0,141.0,1153.0,6,1,423000
4187.0,59643.0,1160200.0,97.0,1040.0,6,1,423100
2874.0,74861.0,1255400.0,25.0,652.0,6,1,423200
3438.0,95927.0,1078700.0,103.0,732.0,6,1,423300
5581.0,121122.0,1293400.0,306.0,1252.0,6,1,423400
3537.0,106964.0,1079200.0,81.0,978.0,6,1,423500
2717.0,162386.0,1381000.0,140.0,616.0,6,1,423601
6739.0,60625.0,963200.0,265.0,785.0,6,1,423602
3537.0,102566.0,2000001.0,115.0,420.0,6,1,423700
