origin_id,origin_name,jobs_am_peak_15min,jobs_am_peak_30min,jobs_am_peak_45min,jobs_late_night_15min,jobs_late_night_30min,jobs_late_night_45min,Δ_15min_%,Δ_30min_%,Δ_45min_%
6001435700,6001435700,728,4111,18663,728,2990,24548,0.0,-27.3,31.5
6001402200,6001402200,451,93818,227323,451,73075,164564,0.0,-22.1,-27.6
6001428301,6001428301,7792,8891,19086,7792,8378,8891,0.0,-5.8,-53.4
6001437701,6001437701,276,2319,17547,276,2486,24440,0.0,7.2,39.3
6001428302,6001428302,586,8891,18003,586,11219,42399,0.0,26.2,135.5
6001432502,6001432502,215,5645,70526,215,7221,44248,0.0,27.9,-37.3
